dragon,name,type,reused,launch,customers,norad_ids,nationalities,manufacturers,mass_kg,mass_lbs,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-8,Satellite,False,5eb87d46ffd86e000604b389,['SpaceX'],"[45730, 45731, 45732, 45733, 45734, 45735, 45736, 45737, 45738, 45739, 45740, 45741, 45742, 45743, 45744, 45745, 45746, 45747, 45748, 45749, 45750, 45751]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6925.372,0.0001931,545.9,548.574,53.0533,95.593,,2022-11-30T01:30:19.000Z,15.06392326,203.997,52.2538,307.8625,5eb0e4d1b6c3bb0006eeb258
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",SAOCOM 1B,Satellite,False,5eb87d47ffd86e000604b38a,['CONAE'],[],['Argentina'],[],1600.0,3527.396,SSO,geocentric,sun-synchronous,,,,,,,,,,,,,,5eb0e4d1b6c3bb0006eeb259
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",ANASIS-II,Satellite,False,5eb87d50ffd86e000604b394,['South Korea'],[],['South Korea'],['South Korea'],,,GEO,geocentric,geosynchronous,,,,,,,,15.0,,,,,,5eb0e4d2b6c3bb0006eeb25b
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",GPS III SV03 (Columbus),Satellite,False,5eb87d4affd86e000604b38b,['USAF'],[],['United States'],['Lockheed Martin'],3880.0,8553.94,MEO,,,,,,,,,,15.0,,,,,,5eb0e4d2b6c3bb0006eeb25c
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",SXM-7,Satellite,False,5eb87d4bffd86e000604b38c,['SiriusXM'],[47240],['United States'],['SSL'],7000.0,15432.36,GTO,geocentric,geostationary,-85.15,42165.776,0.000137,35781.865,35793.418,0.0539,1436.15,15.0,2022-11-30T12:35:14.000Z,1.0026806,88.4175,85.7907,358.7517,5eb0e4d2b6c3bb0006eeb25d
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",GPS III SV04 (Sacagawea),Satellite,False,5eb87d4cffd86e000604b38d,['United States Space Force'],[46826],['United States'],['Lockheed Martin'],3681.0,8115.216,MEO,geocentric,semi-synchronous,,26560.231,0.0024554,20116.88,20247.312,54.4642,717.972,15.0,2022-11-30T04:47:27.000Z,2.00564932,263.3675,190.6279,344.3908,5eb0e4d2b6c3bb0006eeb25e
"{'capsule': '5f6f99fddcfdf403df379709', 'mass_returned_kg': 9616, 'mass_returned_lbs': 21200, 'flight_time_sec': 14450000, 'manifest': None, 'water_landing': True, 'land_landing': None}",Crew-1,Crew Dragon,False,5eb87d4dffd86e000604b38e,['NASA (CCtCap)'],[46920],['United States'],['SpaceX'],,,ISS,geocentric,low-earth,,6786.516,0.0003648,405.905,410.857,51.6413,92.732,,2021-05-02T03:59:09.000Z,15.52860534,210.3563,291.1645,161.0916,5eb0e4d2b6c3bb0006eeb25f
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",GPS III SV05,Satellite,False,5eb87d4effd86e000604b390,['USAF'],[48859],['United States'],['Lockheed Martin'],3681.0,8115.22,MEO,geocentric,semi-synchronous,,26560.343,0.0009036,20158.208,20206.208,55.2552,717.977,15.0,2022-11-30T06:54:58.000Z,2.00563662,24.3803,211.2638,212.5223,5eb0e4d2b6c3bb0006eeb261
"{'capsule': '5fbb0f8fec55b34eb9f35c14', 'mass_returned_kg': 2002, 'mass_returned_lbs': 4414, 'flight_time_sec': 3294659, 'manifest': 'https://www.nasa.gov/sites/default/files/atoms/files/spacex_crs-21_mision_overview_high_res.pdf', 'water_landing': True, 'land_landing': False}",CRS-21,Dragon 2.0,False,5eb87d4effd86e000604b391,['NASA (CRS)'],[47233],['United States'],['SpaceX'],2972.0,6552.138,ISS,geocentric,low-earth,,6680.628,0.0151397,201.351,403.636,51.644,90.57,,2021-01-13T17:38:50.000Z,15.89925614,26.3562,61.4578,300.1249,5eb0e4d3b6c3bb0006eeb262
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Turksat 5A,Satellite,False,5eb87d4fffd86e000604b393,['Turksat'],[47306],['Turkey'],['Airbus Defence and Space'],3500.0,7716.2,GTO,geocentric,geostationary,31.0,42164.678,1.06e-05,35786.096,35786.99,0.03,1436.094,15.0,2022-11-30T07:29:42.000Z,1.00271979,87.8348,315.7759,168.9085,5eb0e4d3b6c3bb0006eeb264
